planner,median_delta_ms,ci95_low_ms,ci95_high_ms,slower_count,faster_count,sign_test_p_two_sided,holm_adjusted_p,bootstrap_resamples,baseline_planner
r7_beam_search,0.06754199999999999,0.04635399999999998,0.08470850000000002,50,0,1.7763568394002505e-15,1.9539925233402755e-14,40000,r1_weighted_astar
r5_jump_point_search,0.08149999999999999,0.054916000000000006,0.12418700000000002,50,0,1.7763568394002505e-15,1.9539925233402755e-14,40000,r1_weighted_astar
greedy_best_first,0.07835400000000001,0.05637499999999998,0.11208249999999997,48,2,2.2666313270747196e-12,2.2666313270747196e-12,40000,r1_weighted_astar
r8_fringe_search,0.153813,0.1127715,0.22845899999999997,50,0,1.7763568394002505e-15,1.9539925233402755e-14,40000,r1_weighted_astar
astar,0.1492915,0.09735400000000004,0.229541,50,0,1.7763568394002505e-15,1.9539925233402755e-14,40000,r1_weighted_astar
dijkstra,0.1719375,0.10560449999999999,0.24437450000000005,50,0,1.7763568394002505e-15,1.9539925233402755e-14,40000,r1_weighted_astar
r9_bidirectional_bfs,0.19122950000000002,0.12052099999999999,0.232167,50,0,1.7763568394002505e-15,1.9539925233402755e-14,40000,r1_weighted_astar
r2_bidirectional_astar,0.9828125000000001,0.592542,1.3203955,50,0,1.7763568394002505e-15,1.9539925233402755e-14,40000,r1_weighted_astar
r3_theta_star,1.002604,0.7226455,1.7135829999999999,50,0,1.7763568394002505e-15,1.9539925233402755e-14,40000,r1_weighted_astar
r6_lpa_star,3.2957710000000002,2.7256455,4.265333,50,0,1.7763568394002505e-15,1.9539925233402755e-14,40000,r1_weighted_astar
r4_idastar,10.761833,5.697125,30.025917,50,0,1.7763568394002505e-15,1.9539925233402755e-14,40000,r1_weighted_astar
